Simulation begins...
starting simulation.
At time:0, part 0 arrived.
At time:1, part 0 arrived.
At time:2, part 0 arrived.
At time:3, part 0 arrived.
At time:4, part 0 arrived.
At time:5, part 0 arrived.
At time:6, part 0 arrived.
At time:7, part 0 arrived.
At time:8, part 0 arrived.
At time:9, part 0 arrived.
At time:10, part 0 arrived.
At time:11, part 0 arrived.
At time:12, part 0 arrived.
At time:13, part 0 arrived.
At time:14, part 0 arrived.
At time:15, part 0 arrived.
At time:16, part 0 arrived.
At time:17, part 0 arrived.
At time:18, part 0 arrived.
At time:19, part 0 arrived.
At time:20, part 0 arrived.
At time:21, part 0 arrived.
At time:22, part 0 arrived.
At time:23, part 0 arrived.
At time:24, part 0 arrived.
At time:25, part 0 arrived.
At time:26, part 0 arrived.
At time:27, part 0 arrived.
At time:28, part 0 arrived.
At time:29, part 0 arrived.
At time:30, part 0 arrived.
At time:31, part 0 arrived.
At time:32, part 0 arrived.
At time:33, part 0 arrived.
At time:34, part 0 arrived.
At time:35, part 0 arrived.
At time:36, part 0 arrived.
At time:37, part 0 arrived.
At time:38, part 0 arrived.
At time:39, part 0 arrived.
At time:40, part 0 arrived.
At time:41, part 0 arrived.
At time:42, part 0 arrived.
At time:43, part 0 arrived.
At time:44, part 0 arrived.
At time:45, part 0 arrived.
At time:46, part 0 arrived.
At time:47, part 0 arrived.
At time:48, part 0 arrived.
At time:49, part 0 arrived.
At time:50, part 1 arrived.
At time:50, part 2 arrived.
At time:50, startAssembly event will occur
At time:51, part 2 arrived.
At time:51, part 1 arrived.
At time:51, startAssembly event will occur
At time:60, end assembly event occurs
At time:60, productArrival event will occur
At time:51, startAssembly event will occur
At time:56, end assembly event occurs
At time:56, productArrival event will occur
At time:61, end assembly event occurs
At time:61, productArrival event will occur
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:100, part 2 arrived.
At time:200, part 1 arrived.
At time:200, startAssembly event will occur
At time:201, part 1 arrived.
At time:201, startAssembly event will occur
At time:202, part 1 arrived.
At time:202, startAssembly event will occur
At time:203, part 1 arrived.
At time:203, startAssembly event will occur
At time:204, part 1 arrived.
At time:204, startAssembly event will occur
At time:205, part 1 arrived.
At time:205, startAssembly event will occur
At time:206, part 1 arrived.
At time:206, startAssembly event will occur
At time:207, part 1 arrived.
At time:207, startAssembly event will occur
At time:208, part 1 arrived.
At time:208, startAssembly event will occur
At time:209, part 1 arrived.
At time:209, startAssembly event will occur
At time:210, part 1 arrived.
At time:210, startAssembly event will occur
At time:210, end assembly event occurs
At time:210, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:100, startAssembly event will occur
At time:105, end assembly event occurs
At time:105, productArrival event will occur
At time:211, part 1 arrived.
At time:211, startAssembly event will occur
At time:211, end assembly event occurs
At time:211, productArrival event will occur
At time:212, part 1 arrived.
At time:212, startAssembly event will occur
At time:212, end assembly event occurs
At time:212, productArrival event will occur
At time:213, part 1 arrived.
At time:213, startAssembly event will occur
At time:213, end assembly event occurs
At time:213, productArrival event will occur
At time:214, part 1 arrived.
At time:214, startAssembly event will occur
At time:214, end assembly event occurs
At time:214, productArrival event will occur
At time:215, part 1 arrived.
At time:215, startAssembly event will occur
At time:215, end assembly event occurs
At time:215, productArrival event will occur
At time:216, part 1 arrived.
At time:216, startAssembly event will occur
At time:216, end assembly event occurs
At time:216, productArrival event will occur
At time:217, part 1 arrived.
At time:217, startAssembly event will occur
At time:217, end assembly event occurs
At time:217, productArrival event will occur
At time:218, part 1 arrived.
At time:218, startAssembly event will occur
At time:218, end assembly event occurs
At time:218, productArrival event will occur
At time:219, part 1 arrived.
At time:219, startAssembly event will occur
At time:219, end assembly event occurs
At time:219, productArrival event will occur
At time:220, part 1 arrived.
At time:220, startAssembly event will occur
At time:220, end assembly event occurs
At time:220, productArrival event will occur
At time:221, part 1 arrived.
At time:221, startAssembly event will occur
At time:221, end assembly event occurs
At time:221, productArrival event will occur
At time:222, part 1 arrived.
At time:222, startAssembly event will occur
At time:222, end assembly event occurs
At time:222, productArrival event will occur
At time:223, part 1 arrived.
At time:223, startAssembly event will occur
At time:223, end assembly event occurs
At time:223, productArrival event will occur
At time:224, part 1 arrived.
At time:224, startAssembly event will occur
At time:224, end assembly event occurs
At time:224, productArrival event will occur
At time:225, part 1 arrived.
At time:225, startAssembly event will occur
At time:225, end assembly event occurs
